Date,Number of Orders,Status of Order, Total CBV ,Service,,,,Data Dictionary
2016-01-11,370310,Completed,"  7,729,862,140 ",GO-RIDE,,,,
2016-01-11,33890,Completed,"  1,239,345,380 ",GO-SEND,,,,
2016-01-11,16780,Completed,"  412,250,020 ",GO-SHOP,,,,
2016-01-11,10,Completed,  -   ,GO-TIX,,,,
2016-01-11,30,Failed/Timeout,"  273,000 ",GO-TIX,,,,
2016-01-11,20,No Driver Found,"  12,871,040 ",GO-BOX,,,,
2016-01-11,0,No Driver Found,"  273,000 ",GO-CLEAN,,,,
2016-01-11,350,No Driver Found,"  7,371,000 ",GO-FOOD,,,,
2016-01-11,10,No Driver Found,"  1,911,000 ",GO-GLAM,,,,
2016-01-11,10,No Driver Found,"  109,200 ",GO-KILAT,,,,
2016-01-11,10,No Driver Found,"  72,800 ",GO-MART,,,,
